meter_id,timestamp,voltage,current,power,temperature,frequency,power_factor,is_anomaly
ANM-001,2025-01-01T00:00:00,231.27,3.898,0.843,30.31,49.879,0.935,0
ANM-001,2025-01-01T01:00:00,231.24,9.388,1.995,30.04,49.916,0.919,0
ANM-001,2025-01-01T02:00:00,226.64,8.699,1.8,30.45,49.972,0.913,0
ANM-001,2025-01-01T03:00:00,230.38,9.776,2.063,30.8,50.038,0.916,0
ANM-001,2025-01-01T04:00:00,220.97,8.294,1.754,32.73,49.821,0.957,0
ANM-001,2025-01-01T05:00:00,231.8,11.64,2.431,34.17,50.139,0.901,0
ANM-001,2025-01-01T06:00:00,232.29,7.329,1.59,35.32,50.195,0.934,0
ANM-001,2025-01-01T07:00:00,231.02,5.921,1.305,36.05,49.98,0.954,0
ANM-001,2025-01-01T08:00:00,228.85,34.282,7.155,37.55,49.845,0.912,0
ANM-001,2025-01-01T09:00:00,222.76,60.796,12.297,38.59,50.03,0.908,0
ANM-001,2025-01-01T10:00:00,229.15,62.448,13.208,39.98,50.091,0.923,0
ANM-001,2025-01-01T11:00:00,235.68,63.211,13.825,40.82,49.788,0.928,0
ANM-001,2025-01-01T12:00:00,227.67,66.366,14.218,40.23,49.91,0.941,0
ANM-001,2025-01-01T13:00:00,229.9,65.418,14.047,40.59,49.886,0.934,0
ANM-001,2025-01-01T14:00:00,233.04,70.521,15.136,39.08,50.068,0.921,0
ANM-001,2025-01-01T15:00:00,228.47,71.058,14.595,38.89,50.045,0.899,0
ANM-001,2025-01-01T16:00:00,223.81,63.589,13.264,38.66,50.107,0.932,0
ANM-001,2025-01-01T17:00:00,228.23,55.549,12.006,38.07,49.979,0.947,0
ANM-001,2025-01-01T18:00:00,239.48,55.484,12.304,36.05,50.034,0.926,0
ANM-001,2025-01-01T19:00:00,228.47,39.994,8.516,34.25,50.088,0.932,0
ANM-001,2025-01-01T20:00:00,228.96,18.085,3.884,33.41,50.119,0.938,0
ANM-001,2025-01-01T21:00:00,226.92,18.842,4.019,31.6,49.932,0.94,0
ANM-001,2025-01-01T22:00:00,224.7,12.578,2.603,31.08,50.017,0.921,0
ANM-001,2025-01-01T23:00:00,223.91,8.557,1.78,30.46,49.814,0.929,0
ANM-001,2025-01-02T00:00:00,222.83,9.05,1.938,30.12,50.277,0.961,0
ANM-001,2025-01-02T01:00:00,232.8,11.096,2.374,30.87,49.904,0.919,0
ANM-001,2025-01-02T02:00:00,237.05,9.181,2.072,30.77,50.021,0.952,0
ANM-001,2025-01-02T03:00:00,235.13,9.92,2.083,31.78,50.181,0.893,0
ANM-001,2025-01-02T04:00:00,229.65,6.126,1.328,32.3,49.997,0.944,0
ANM-001,2025-01-02T05:00:00,227.26,1.13,0.233,34.5,50.217,0.907,0
ANM-001,2025-01-02T06:00:00,224.16,4.53,0.922,34.25,50.045,0.908,0
ANM-001,2025-01-02T07:00:00,236.41,6.932,1.524,35.95,50.203,0.93,0
ANM-001,2025-01-02T08:00:00,235.37,30.701,6.583,37.62,49.964,0.911,0
ANM-001,2025-01-02T09:00:00,236.97,52.57,11.872,39.38,49.902,0.953,0
ANM-001,2025-01-02T10:00:00,227.48,61.558,12.967,40.9,49.997,0.926,0
ANM-001,2025-01-02T11:00:00,231.98,65.48,13.428,41.02,49.868,0.884,0
ANM-001,2025-01-02T12:00:00,233.49,68.692,14.403,40.94,49.957,0.898,0
ANM-001,2025-01-02T13:00:00,222.68,71.759,13.966,40.81,49.837,0.874,0
ANM-001,2025-01-02T14:00:00,221.58,69.61,14.653,39.9,50.125,0.95,0
ANM-001,2025-01-02T15:00:00,233.88,63.661,13.683,38.61,50.124,0.919,0
ANM-001,2025-01-02T16:00:00,227.41,63.324,13.09,37.38,49.797,0.909,0
ANM-001,2025-01-02T17:00:00,233.5,58.099,12.535,37.47,49.875,0.924,0
ANM-001,2025-01-02T18:00:00,227.9,53.482,11.25,35.4,49.985,0.923,0
ANM-001,2025-01-02T19:00:00,238.42,40.847,9.018,34.3,50.273,0.926,0
ANM-001,2025-01-02T20:00:00,216.45,23.003,4.511,33.97,49.985,0.906,0
ANM-001,2025-01-02T21:00:00,231.84,15.357,3.279,31.46,50.04,0.921,0
ANM-001,2025-01-02T22:00:00,232.45,13.33,2.795,31.04,50.141,0.902,0
ANM-001,2025-01-02T23:00:00,231.99,10.721,2.333,29.77,49.972,0.938,0
ANM-001,2025-01-03T00:00:00,214.49,7.701,1.437,30.14,50.085,0.87,0
ANM-001,2025-01-03T01:00:00,224.35,10.154,2.13,29.86,49.873,0.935,0
ANM-001,2025-01-03T02:00:00,234.56,9.524,2.044,30.78,49.78,0.915,0
ANM-001,2025-01-03T03:00:00,230.84,8.262,1.787,31.66,50.118,0.937,0
ANM-001,2025-01-03T04:00:00,228.4,2.886,0.621,33.11,49.851,0.942,0
ANM-001,2025-01-03T05:00:00,220.66,5.396,1.087,33.59,49.916,0.913,0
ANM-001,2025-01-03T06:00:00,238.33,7.595,1.629,34.91,49.898,0.9,0
ANM-001,2025-01-03T07:00:00,227.94,8.744,1.72,35.93,50.133,0.863,0
ANM-001,2025-01-03T08:00:00,234.02,29.572,6.526,37.44,49.978,0.943,0
ANM-001,2025-01-03T09:00:00,232.65,57.929,12.453,38.7,50.113,0.924,0
ANM-001,2025-01-03T10:00:00,223.48,62.268,12.538,39.44,50.114,0.901,0
ANM-001,2025-01-03T11:00:00,229.55,64.869,13.759,40.66,50.16,0.924,0
ANM-001,2025-01-03T12:00:00,226.91,73.622,15.436,39.86,49.883,0.924,0
ANM-001,2025-01-03T13:00:00,232.63,65.196,13.574,40.43,50.133,0.895,0
ANM-001,2025-01-03T14:00:00,217.71,66.746,13.238,39.11,50.023,0.911,0
ANM-001,2025-01-03T15:00:00,225.33,69.245,13.949,38.82,50.089,0.894,0
ANM-001,2025-01-03T16:00:00,238.24,63.299,13.316,38.02,49.978,0.883,0
ANM-001,2025-01-03T17:00:00,232.89,65.283,13.577,37.28,49.918,0.893,0
ANM-001,2025-01-03T18:00:00,233.23,51.572,11.583,35.5,50.01,0.963,0
ANM-001,2025-01-03T19:00:00,227.79,38.298,8.122,33.91,50.06,0.931,0
ANM-001,2025-01-03T20:00:00,224.25,22.247,4.53,32.57,50.126,0.908,0
ANM-001,2025-01-03T21:00:00,229.08,16.521,3.478,31.97,50.185,0.919,0
ANM-001,2025-01-03T22:00:00,230.63,10.186,2.18,30.92,50.048,0.928,0
ANM-001,2025-01-03T23:00:00,221.07,11.967,2.508,30.7,50.06,0.948,0
ANM-001,2025-01-04T00:00:00,225.88,12.273,2.664,30.39,49.958,0.961,0
ANM-001,2025-01-04T01:00:00,229.53,8.988,1.896,30.07,50.02,0.919,0
ANM-001,2025-01-04T02:00:00,229.73,7.351,1.562,31.55,49.875,0.925,0
ANM-001,2025-01-04T03:00:00,238.91,5.276,1.195,32.06,50.028,0.948,0
ANM-001,2025-01-04T04:00:00,234.5,6.034,1.289,33.34,49.854,0.911,0
ANM-001,2025-01-04T05:00:00,232.29,8.109,1.748,33.85,50.043,0.928,0
ANM-001,2025-01-04T06:00:00,229.01,4.227,0.905,35.72,49.943,0.935,0
ANM-001,2025-01-04T07:00:00,231.55,8.709,1.827,36.22,50.159,0.906,0
ANM-001,2025-01-04T08:00:00,235.92,30.156,6.531,37.64,50.081,0.918,0
ANM-001,2025-01-04T09:00:00,234.35,56.077,11.88,39.14,50.079,0.904,0
ANM-001,2025-01-04T10:00:00,235.02,61.311,13.026,39.4,49.951,0.904,0
ANM-001,2025-01-04T11:00:00,234.8,62.43,13.691,39.7,50.039,0.934,0
ANM-001,2025-01-04T12:00:00,227.76,61.748,13.009,40.69,50.003,0.925,0
ANM-001,2025-01-04T13:00:00,228.44,68.897,14.464,40.43,50.063,0.919,0
ANM-001,2025-01-04T14:00:00,227.5,67.034,14.32,40.06,50.044,0.939,0
ANM-001,2025-01-04T15:00:00,239.66,59.411,13.313,38.25,49.935,0.935,0
ANM-001,2025-01-04T16:00:00,230.74,65.076,13.529,37.18,49.951,0.901,0
ANM-001,2025-01-04T17:00:00,233.89,58.004,12.332,36.91,49.968,0.909,0
ANM-001,2025-01-04T18:00:00,232.5,57.609,12.336,36.12,49.823,0.921,0
ANM-001,2025-01-04T19:00:00,228.46,37.971,8.406,34.44,49.945,0.969,0
ANM-001,2025-01-04T20:00:00,239.36,18.724,4.204,33.04,49.834,0.938,0
ANM-001,2025-01-04T21:00:00,236.08,17.441,3.784,32.75,49.998,0.919,0
ANM-001,2025-01-04T22:00:00,231.65,11.226,2.343,30.85,49.929,0.901,0
ANM-001,2025-01-04T23:00:00,237.87,10.667,2.342,30.02,49.998,0.923,0
ANM-001,2025-01-05T00:00:00,224.24,7.828,1.664,29.39,49.837,0.948,0
ANM-001,2025-01-05T01:00:00,233.09,10.975,2.16,32.36,50.118,0.923,1
ANM-001,2025-01-05T02:00:00,229.14,7.048,1.662,31.97,49.971,0.918,1
ANM-001,2025-01-05T03:00:00,224.68,5.019,1.234,32.99,50.037,0.913,1
ANM-001,2025-01-05T04:00:00,229.16,7.964,1.773,34.83,49.958,0.938,1
ANM-001,2025-01-05T05:00:00,233.52,2.765,0.459,35.91,49.834,0.903,1
ANM-001,2025-01-05T06:00:00,221.8,6.784,1.366,36.94,50.055,0.902,1
ANM-001,2025-01-05T07:00:00,229.31,5.951,1.295,37.87,50.019,0.901,1
ANM-001,2025-01-05T08:00:00,228.77,29.917,6.529,39.53,49.835,0.95,1
ANM-001,2025-01-05T09:00:00,236.02,53.166,11.695,41.24,50.05,0.938,1
ANM-001,2025-01-05T10:00:00,229.44,58.323,12.13,42.79,49.998,0.905,1
ANM-001,2025-01-05T11:00:00,235.16,61.981,13.414,41.74,49.957,0.919,1
ANM-001,2025-01-05T12:00:00,234.06,61.555,14.136,42.91,50.123,0.98,1
ANM-001,2025-01-05T13:00:00,228.71,70.89,14.737,42.85,49.953,0.917,1
ANM-001,2025-01-05T14:00:00,219.0,69.715,14.001,42.26,49.881,0.916,1
ANM-001,2025-01-05T15:00:00,231.48,65.882,14.194,41.13,49.889,0.937,1
ANM-001,2025-01-05T16:00:00,227.2,66.489,13.592,41.06,49.98,0.9,1
ANM-001,2025-01-05T17:00:00,228.19,60.877,12.911,39.99,50.022,0.933,1
ANM-001,2025-01-05T18:00:00,228.03,56.718,11.398,37.26,50.064,0.881,1
ANM-001,2025-01-05T19:00:00,227.5,34.349,7.083,36.48,49.815,0.957,1
ANM-001,2025-01-05T20:00:00,236.22,20.231,4.308,34.18,50.012,0.951,1
ANM-001,2025-01-05T21:00:00,224.94,20.987,4.394,33.71,49.841,0.943,1
ANM-001,2025-01-05T22:00:00,224.8,16.619,3.335,31.85,49.981,0.942,1
ANM-001,2025-01-05T23:00:00,225.7,13.553,2.53,32.47,50.012,0.905,1
