meter_id,timestamp,voltage,current,power,temperature,frequency,power_factor,is_anomaly
NRM-001,2025-01-01T00:00:00,229.28,0.385,0.081,30.36,49.987,0.918,0
NRM-001,2025-01-01T01:00:00,222.51,0.521,0.106,30.07,50.012,0.915,0
NRM-001,2025-01-01T02:00:00,231.16,0.603,0.13,30.73,49.926,0.933,0
NRM-001,2025-01-01T03:00:00,224.93,0.54,0.115,31.49,49.989,0.946,0
NRM-001,2025-01-01T04:00:00,232.66,0.357,0.076,32.75,50.087,0.914,0
NRM-001,2025-01-01T05:00:00,228.8,0.425,0.09,34.1,49.889,0.925,0
NRM-001,2025-01-01T06:00:00,232.84,0.777,0.157,34.7,49.908,0.868,0
NRM-001,2025-01-01T07:00:00,234.38,1.386,0.291,36.73,49.9,0.896,0
NRM-001,2025-01-01T08:00:00,229.57,1.861,0.394,37.93,50.064,0.922,0
NRM-001,2025-01-01T09:00:00,231.75,1.22,0.263,38.24,49.928,0.93,0
NRM-001,2025-01-01T10:00:00,227.65,1.162,0.242,40.51,49.918,0.915,0
NRM-001,2025-01-01T11:00:00,224.51,1.071,0.228,40.09,50.084,0.948,0
NRM-001,2025-01-01T12:00:00,237.13,0.917,0.194,39.74,50.095,0.892,0
NRM-001,2025-01-01T13:00:00,222.78,1.072,0.221,39.68,50.072,0.925,0
NRM-001,2025-01-01T14:00:00,232.9,1.193,0.259,39.04,49.944,0.932,0
NRM-001,2025-01-01T15:00:00,225.84,1.169,0.24,38.51,50.075,0.909,0
NRM-001,2025-01-01T16:00:00,226.38,1.376,0.275,36.97,49.943,0.883,0
NRM-001,2025-01-01T17:00:00,232.08,1.667,0.356,36.44,50.017,0.92,0
NRM-001,2025-01-01T18:00:00,235.42,1.869,0.407,34.51,50.09,0.925,0
NRM-001,2025-01-01T19:00:00,231.91,2.238,0.477,34.71,49.964,0.919,0
NRM-001,2025-01-01T20:00:00,237.97,2.369,0.513,31.96,49.985,0.91,0
NRM-001,2025-01-01T21:00:00,237.12,2.533,0.561,30.3,50.071,0.934,0
NRM-001,2025-01-01T22:00:00,232.78,1.814,0.383,30.69,50.172,0.907,0
NRM-001,2025-01-01T23:00:00,224.72,1.085,0.231,29.96,49.964,0.947,0
NRM-001,2025-01-02T00:00:00,230.49,0.296,0.063,29.4,50.089,0.924,0
NRM-001,2025-01-02T01:00:00,230.02,0.653,0.139,30.86,49.87,0.926,0
NRM-001,2025-01-02T02:00:00,229.39,0.53,0.116,29.84,50.099,0.955,0
NRM-001,2025-01-02T03:00:00,232.96,0.625,0.136,31.5,49.948,0.934,0
NRM-001,2025-01-02T04:00:00,223.76,0.507,0.104,33.52,49.939,0.916,0
NRM-001,2025-01-02T05:00:00,231.6,0.275,0.058,33.84,50.082,0.912,0
NRM-001,2025-01-02T06:00:00,237.24,0.85,0.181,35.24,50.052,0.898,0
NRM-001,2025-01-02T07:00:00,232.46,1.223,0.268,36.35,50.07,0.943,0
NRM-001,2025-01-02T08:00:00,236.37,1.869,0.409,38.6,50.024,0.926,0
NRM-001,2025-01-02T09:00:00,228.52,1.17,0.254,38.61,50.052,0.95,0
NRM-001,2025-01-02T10:00:00,235.98,1.077,0.225,39.49,50.023,0.885,0
NRM-001,2025-01-02T11:00:00,226.96,1.083,0.229,39.34,50.052,0.932,0
NRM-001,2025-01-02T12:00:00,229.02,0.804,0.171,39.99,49.925,0.929,0
NRM-001,2025-01-02T13:00:00,232.61,1.079,0.228,40.04,50.102,0.908,0
